           Self        Total        Cumul
  Nr  Count     %  Count     %  Count     %    Calls  Function
 139      9   0.2      9   0.2   4837  82.2        -  VARJO.UTILS:LISTIFY
 141      9   0.2      9   0.2   4855  82.5        -  FIRST
 142      9   0.2      9   0.2   4864  82.6        -  CONSP
 143      9   0.2      9   0.2   4873  82.8        -  SB-IMPL::OUTPUT-VECTOR
 144      9   0.2      9   0.2   4882  82.9        -  SB-KERNEL:%UNARY-TRUNCATE/SINGLE-FLOAT
 145      8   0.1    195   3.3   4890  83.1        -  (LABELS VARJO.INTERNALS::POST-PROCESS-NODE :IN VARJO.INTERNALS::POST-PROCESS-FUNC-AST)
 146      8   0.1    129   2.2   4898  83.2        -  SB-FORMAT::%FORMAT
 147      8   0.1     43   0.7   4906  83.3        -  V-ERRORP
 148      8   0.1     40   0.7   4914  83.5        -  (SB-PCL::FAST-METHOD VARJO.INTERNALS::VAL-ORIGINS (VARJO.INTERNALS::AST-NODE))
 149      8   0.1     26   0.4   4922  83.6        -  VARJO.INTERNALS:FRESH-ENVIRONMENT
 150      8   0.1     19   0.3   4930  83.7        -  EPHEMERAL-P
 151      8   0.1     11   0.2   4938  83.9        -  VARJO.INTERNALS::GLSL-CHUNK-TO-STRING
 152      8   0.1      8   0.1   4946  84.0        -  (LAMBDA (SB-PCL::.ARG0.) :IN "/home/baggers/.slime/fasl/2.20/sbcl-1.3.14-linux-x86-64/sbcl.fasl")
 153      8   0.1      8   0.1   4954  84.2        -  SB-KERNEL:%LAST1
 154      7   0.1   4796  81.5   4961  84.3        -  VARJO.INTERNALS::COMPILE-CALL-WITH-SET-OF-FUNCTIONS
 155      7   0.1   2116  35.9   4968  84.4        -  VARJO.INTERNALS::TRY-COMPILE-ARGS
 156      7   0.1     42   0.7   4975  84.5        -  VARJO.INTERNALS:MAKE-TYPE-SET*
 157      7   0.1     32   0.5   4982  84.6        -  (SB-PCL::FAST-METHOD VARJO.INTERNALS::FLOW-ID-ORIGINS (VARJO.INTERNALS::AST-NODE))
 158      7   0.1     32   0.5   4989  84.7        -  VARJO.INTERNALS:ID~=
 159      7   0.1     27   0.5   4996  84.9        -  VARJO.INTERNALS:FLOW-ID!
 160      7   0.1     24   0.4   5003  85.0        -  VARJO.INTERNALS::%VALID-FOR-CONTEXTP
 161      7   0.1     18   0.3   5010  85.1        -  (LABELS SB-IMPL::SXHASH-RECURSE :IN SXHASH)
 162      7   0.1     16   0.3   5017  85.2        -  SB-IMPL::VECTOR-SUBSTITUTE*
 163      7   0.1     14   0.2   5024  85.3        -  SB-IMPL::%MAKE-HASH-TABLE
 164      7   0.1      9   0.2   5031  85.5        -  (SB-PCL::FAST-METHOD VARJO.INTERNALS::VALID-FOR-CONTEXTP (LIST VARJO.INTERNALS::ENVIRONMENT))
 165      7   0.1      8   0.1   5038  85.6        -  (LAMBDA (VARJO.INTERNALS::_) :IN MAKE-TYPE-SET)
