Profiler sample vector full (4286 traces / 500000 samples), doubling the size
Profiler sample vector full (8601 traces / 1000000 samples), doubling the size

Number of samples:   10679
Sample interval:     0.001 seconds
Total sampling time: 10.679001 seconds
Number of cycles:    0
Sampled threads:
 #<SB-THREAD:THREAD "control-thread" waiting on: #<WAITQUEUE  {1001E08243}> {1001E02833}>
 #<SB-THREAD:THREAD "auto-flush-thread" RUNNING {10029EFDA3}>
 #<SB-THREAD:THREAD "swank-indentation-cache-thread" waiting on: #<WAITQUEUE  {1001E100E3}> {1001E08143}>
 #<SB-THREAD:THREAD "reader-thread" RUNNING {1001E08023}>
 #<SB-THREAD:THREAD "Swank Sentinel" waiting on: #<WAITQUEUE  {1005000003}> {1004FFC713}>
 #<SB-THREAD:THREAD "main thread" RUNNING {10005E8293}>
 #<SB-THREAD:THREAD "repl-thread" RUNNING {10029F0003}>

           Self        Total        Cumul
  Nr  Count     %  Count     %  Count     %    Calls  Function
 102     20   0.2     20   0.2   8354  78.2        -  (LAMBDA (SB-KERNEL::CACHE SB-KERNEL::OBJECT) :IN SB-KERNEL::CACHED-TYPEP)
 103     20   0.2     20   0.2   8374  78.4        -  IDENTITY
 104     20   0.2     20   0.2   8394  78.6        -  WRITE-STRING
 105     20   0.2     20   0.2   8414  78.8        -  VARJO.INTERNALS::TYPE-NAME-KNOWN
 106     19   0.2     28   0.3   8433  79.0        -  SB-KERNEL:%FIND-POSITION
 107     19   0.2     19   0.2   8452  79.1        -  (LAMBDA (SB-PCL::.ARG0. SB-PCL::.ARG1. SB-PCL::.ARG2.) :IN "SYS:SRC;PCL;DLISP3.LISP")
 108     19   0.2     19   0.2   8471  79.3        -  LENGTH
 109     19   0.2     19   0.2   8490  79.5        -  (LAMBDA (SB-PCL::.ARG0. SB-PCL::.ARG1.) :IN "SYS:SRC;PCL;BRAID.LISP")
 110     18   0.2   8913  83.5   8508  79.7        -  (SB-PCL::FAST-METHOD COMPILE-FORM (T T))
 111     18   0.2   1544  14.5   8526  79.8        -  (SB-PCL::FAST-METHOD TYPE-SPEC->TYPE (T))
 112     18   0.2    110   1.0   8544  80.0        -  VARJO.INTERNALS::ASSERT-VALID-TYPE-SET
 113     18   0.2     59   0.6   8562  80.2        -  (SB-PCL::FAST-METHOD VARJO.INTERNALS::VAL-ORIGINS (VARJO.INTERNALS::AST-NODE))
 114     18   0.2     54   0.5   8580  80.3        -  (SB-PCL::FAST-METHOD V-SPECIAL-FUNCTIONP (VARJO.INTERNALS:V-FUNCTION))
 115     18   0.2     34   0.3   8598  80.5        -  (LAMBDA (SB-PCL::|.P0.|) :IN "/Users/Baggers/quicklisp/local-projects/the-works/varjo/src/vari.cl/misc.lisp")
 116     17   0.2   8446  79.1   8615  80.7        -  VARI.CL::VS-LET
 117     17   0.2    272   2.5   8632  80.8        -  TYPEP
 118     17   0.2    264   2.5   8649  81.0        -  SB-KERNEL:SPECIFIER-TYPE
 119     17   0.2    209   2.0   8666  81.1        -  VARJO.UTILS:A-GET
 120     17   0.2     17   0.2   8683  81.3        -  (SB-IMPL::OPTIMIZED-DATA-VECTOR-REF T)
 121     16   0.1     26   0.2   8699  81.5        -  SB-KERNEL:STRING=*
 122     16   0.1     18   0.2   8715  81.6        -  (LAMBDA (SB-PCL::|.P0.| SB-PCL::|.P1.|))
 123     16   0.1     16   0.1   8731  81.8        -  APPEND
 124     16   0.1     16   0.1   8747  81.9        -  (SB-PCL::FAST-METHOD SB-SEQUENCE:EMPTYP (VECTOR))
 125     15   0.1    219   2.1   8762  82.0        -  (LABELS VARJO.INTERNALS::WALK-NODE :IN VARJO.INTERNALS::WALK-AST)
 126     15   0.1    126   1.2   8777  82.2        -  VARJO.INTERNALS::INFER-META
 127     15   0.1     22   0.2   8792  82.3        -  (SB-PCL::FAST-METHOD V-TYPE-EQ (V-TYPE V-TYPE))
 128     15   0.1     15   0.1   8807  82.5        -  SB-INT:MEMQ
 129     15   0.1     15   0.1   8822  82.6        -  (LAMBDA (&OPTIONAL VARJO.INTERNALS::X) :IN VARJO.INTERNALS::%MAKE-FLOW-ID-SOURCE-FUNC)
