           Self        Total        Cumul
  Nr  Count     %  Count     %  Count     %    Calls  Function
  89      2   0.0      2   0.0  17667  99.3        -  (LAMBDA (SB-PCL::.ARG0. SB-INT:&MORE SB-PCL::.DFUN-MORE-CONTEXT. SB-PCL::.DFUN-MORE-COUNT.) :IN "/home/baggers/.cache/common-lisp/sbcl-1.3.14-linux-x64/home/baggers/quicklisp/local-projects/the-works/varjo/src/varjo.internals/deftype.fasl")
  90      2   0.0      2   0.0  17669  99.3        -  SB-KERNEL:%SXHASH-SIMPLE-STRING
  91      2   0.0      2   0.0  17671  99.4        -  SB-KERNEL:LIST-FILL*
  92      2   0.0      2   0.0  17673  99.4        -  "foreign function __poll"
  93      2   0.0      2   0.0  17675  99.4        -  LENGTH
  94      2   0.0      2   0.0  17677  99.4        -  VARJO.INTERNALS::GLSL-LEN
  95      2   0.0      2   0.0  17679  99.4        -  SB-KERNEL:STRING=*
  96      2   0.0      2   0.0  17681  99.4        -  (LAMBDA (&OPTIONAL VARJO.INTERNALS::X) :IN VARJO.INTERNALS::%MAKE-FLOW-ID-SOURCE-FUNC)
  97      2   0.0      2   0.0  17683  99.4        -  (SB-PCL::FAST-METHOD VARJO.INTERNALS:PRIMARY-TYPE (VARJO.INTERNALS:COMPILED))
  98      2   0.0      2   0.0  17685  99.4        -  (LAMBDA (SB-PCL::.ARG0. SB-PCL::.ARG1.) :IN "/home/baggers/.slime/fasl/2.20/sbcl-1.3.14-linux-x86-64/sbcl.fasl")
  99      2   0.0      2   0.0  17687  99.4        -  VARJO.INTERNALS:COMPILE-LIST-FORM
 100      2   0.0      2   0.0  17689  99.5        -  SB-PCL::FIND-CTOR
 101      2   0.0      2   0.0  17691  99.5        -  (LAMBDA (SB-PCL::.ARG0.) :IN "/home/baggers/.slime/fasl/2.20/sbcl-1.3.14-linux-x86-64/sbcl.fasl")
 102      2   0.0      2   0.0  17693  99.5        -  REMOVE-IF
 103      2   0.0      2   0.0  17695  99.5        -  SB-KERNEL:CSUBTYPEP
 104      2   0.0      2   0.0  17697  99.5        -  SB-KERNEL:%MAKE-LIST
 105      2   0.0      2   0.0  17699  99.5        -  IDENTITY
 106      2   0.0      2   0.0  17701  99.5        -  WRITE-STRING
 107      1   0.0  17768  99.9  17702  99.5        -  VARJO.INTERNALS:COMPILE-PROGN
 108      1   0.0   1988  11.2  17703  99.5        -  SB-KERNEL:%FIND-POSITION-IF-NOT
 109      1   0.0     42   0.2  17704  99.5        -  (SB-PCL::FAST-METHOD VARJO.INTERNALS:COMPILE-LITERAL (T T))
 110      1   0.0     38   0.2  17705  99.6        -  SB-KERNEL:%MAP
 111      1   0.0     30   0.2  17706  99.6        -  VARJO.INTERNALS::COMPILE-NUMBER
 112      1   0.0     26   0.1  17707  99.6        -  SB-FORMAT::%FORMAT
 113      1   0.0     24   0.1  17708  99.6        -  (FLET SB-IMPL::F :IN SB-IMPL::%MAP-TO-LIST)
 114      1   0.0     17   0.1  17709  99.6        -  VARJO.INTERNALS::CALC-REGULAR-FUNCTION-RETURN-IDS-GIVEN-ARGS
 115      1   0.0     14   0.1  17710  99.6        -  VARJO.INTERNALS:LISP-NAME->GLSL-NAME
