Number of samples:   3372
Sample interval:     0.01 seconds
Total sampling time: 33.719997 seconds
Number of cycles:    0
Sampled threads:
 #<SB-THREAD:THREAD "auto-flush-thread" RUNNING {10030F7DA3}>
 #<SB-THREAD:THREAD "repl-thread" RUNNING {10030F7FA3}>

           Self        Total        Cumul
  Nr  Count     %  Count     %  Count     %    Calls  Function
  85      1   0.0      1   0.0   3192  94.7        -  (LABELS SB-IMPL::SXHASH-RECURSE :IN SXHASH)
  86      1   0.0      1   0.0   3193  94.7        -  SB-IMPL::%OUTPUT-INTEGER-IN-BASE
  87      1   0.0      1   0.0   3194  94.7        -  (SB-IMPL::OPTIMIZED-DATA-VECTOR-REF T)
  88      1   0.0      1   0.0   3195  94.8        -  CONSP
  89      1   0.0      1   0.0   3196  94.8        -  VARJO.INTERNALS::MATCH-FUNCTION-TO-ARGS
  90      1   0.0      1   0.0   3197  94.8        -  WRITE-CHAR
  91      1   0.0      1   0.0   3198  94.8        -  (LAMBDA (SB-PCL::|.P0.| SB-PCL::|.P1.|))
  92      1   0.0      1   0.0   3199  94.9        -  SB-INT:EQUAL-BUT-NO-CAR-RECURSION
  93      1   0.0      1   0.0   3200  94.9        -  SB-IMPL::LIST-NREVERSE
  94      1   0.0      1   0.0   3201  94.9        -  SUBSEQ
  95      1   0.0      1   0.0   3202  95.0        -  (SB-PCL::FAST-METHOD VARJO.INTERNALS:PRIMARY-TYPE (VARJO.INTERNALS:COMPILED))
  96      1   0.0      1   0.0   3203  95.0        -  (LAMBDA (SB-PCL::|.P0.| SB-PCL::|.P1.|) :IN "/home/baggers/.cache/common-lisp/sbcl-1.3.18-linux-x64/home/baggers/quicklisp/local-projects/the-works/varjo/src/vari.glsl/functions.fasl")
  97      1   0.0      1   0.0   3204  95.0        -  (LAMBDA (&REST ALEXANDRIA.0.DEV::MORE) :IN ALEXANDRIA.0.DEV:CURRY)
  98      1   0.0      1   0.0   3205  95.0        -  (LAMBDA (SB-PCL::.ARG0.) :IN "/home/baggers/.cache/common-lisp/sbcl-1.3.18-linux-x64/home/baggers/quicklisp/local-projects/the-works/varjo/tests/name-shadowing.fasl")
  99      1   0.0      1   0.0   3206  95.1        -  REMOVE-DUPLICATES
 100      1   0.0      1   0.0   3207  95.1        -  (SB-PCL::FAST-METHOD PRINT-OBJECT (CHARACTER T))
 101      1   0.0      1   0.0   3208  95.1        -  SB-KERNEL:HAIRY-DATA-VECTOR-REF/CHECK-BOUNDS
 102      1   0.0      1   0.0   3209  95.2        -  (LAMBDA (SB-PCL::|.P0.| SB-PCL::|.P1.| SB-PCL::|.P2.| SB-PCL::|.P3.| SB-PCL::|.P4.| SB-PCL::|.P5.| SB-PCL::|.P6.| SB-PCL::|.P7.| SB-PCL::|.P8.| SB-PCL::|.P9.| SB-PCL::|.P10.| SB-PCL::|.P11.| ...))
